type,time,category,amount
0,1561910400000,8quhsdjkq0,5400
0,1561910400000,0f1u2i3sadds,1500
0,1563897600000,328jka9aslss,3900.02
0,1564502400000,b8129020zsk,1900
0,1564588800000,8quhsdjkq0,5400
0,1564588800000,0f1u2i3sadds,1500
0,1564588800000,328jka9aslss,5000
0,1566316800000,b8129020zsk,2000
0,1567267200000,8quhsdjkq0,5400
0,1567267200000,0f1u2i3sadds,1500
0,1569772800000,1b1231yubad,3000
0,1569772800000,b8129020zsk,1500
0,1569772800000,328jka9aslss,5000
0,1569859200000,0f1u2i3sadds,1500
0,1572364800000,o72910xjsks,3000
0,1572451200000,328jka9aslss,4600
0,1572451200000,328jka9aslss,3800
0,1572537600000,0f1u2i3sadds,1500.03
0,1574179200000,o72910xjsks,2000
0,1574870400000,1b1231yubad,3000
0,1574956800000,8quhsdjkq0,5400
0,1575043200000,328jka9aslss,5000
0,1575129600000,0f1u2i3sadds,1500
0,1577289600000,328jka9aslss,4000
0,1577345333184,o72910xjsks,2000
0,1577345367638,1b1231yubad,3000
0,1577345378418,jd87ialaljsjks,800
0,1577345504140,b8129020zsk,1000
0,1577345517217,27wquwjnsa,2000
0,1577345576917,8quhsdjkq0,5400
0,1577345590283,1b1231yubad,3000
0,1577345789527,328jka9aslss,3900
0,1577548800000,8quhsdjkq0,5400
1,1561910400000,ssdid09skd,30000
1,1564502400000,512kslajjskk,1000
1,1567094400000,1128jsllqqah,-3000
1,1567180800000,ssdid09skd,28000
1,1569772800000,ssdid09skd,28000
1,1569772800000,1128jsllqqah,2000
1,1572451200000,ssdid09skd,20000
1,1577345267529,ssdid09skd,30000
1,1577345303191,1128jsllqqah,-10000
1,1577345317187,512kslajjskk,1000
1,1577345463930,ssdid09skd,3000.02
1,1577345477581,512kslajjskk,2000.01
1,1577345638784,1128jsllqqah,2000.01
1,1577345638784,,2000.00